,Price,Address,Beds,Area,Full Baths,Half Baths,Lot Size
0,"RockSprings,WY82901",0Gateway,,,,,
1,"RockSprings,WY82901",1003WinchesterBlvd.,4,,4,,0.21 Acres
2,"RockSprings,WY82901",600Talladega,5,"3,154",3,,
3,"RockSprings,WY82901",3239SpearheadWay,4,"3,076",3,1,"Under 1/2 Acre, "
4,"RockSprings,WY82901",522EmeraldStreet,3,"1,172",3,,"Under 1/2 Acre, "
5,"RockSprings,WY82901",1302Veteran'sDrive,4,"1,932",2,,0.27 Acres
6,"RockSprings,WY82901",1021CypressCir,4,"1,676",3,,"Under 1/2 Acre, "
7,"RockSprings,WY82901",913MadisonDr,3,"1,344",2,,"Under 1/2 Acre, "
8,"RockSprings,WY82901",1344TetonStreet,3,"1,920",2,,"Under 1/2 Acre, "
9,"RockSprings,WY82901",4MinniesLane,3,"1,664",2,,2.02 Acres
10,"RockSprings,WY82901",0Gateway,,,,,
11,"RockSprings,WY82901",1003WinchesterBlvd.,4,,4,,0.21 Acres
12,"RockSprings,WY82901",600Talladega,5,"3,154",3,,
13,"RockSprings,WY82901",3239SpearheadWay,4,"3,076",3,1,"Under 1/2 Acre, "
14,"RockSprings,WY82901",522EmeraldStreet,3,"1,172",3,,"Under 1/2 Acre, "
15,"RockSprings,WY82901",1302Veteran'sDrive,4,"1,932",2,,0.27 Acres
16,"RockSprings,WY82901",1021CypressCir,4,"1,676",3,,"Under 1/2 Acre, "
17,"RockSprings,WY82901",913MadisonDr,3,"1,344",2,,"Under 1/2 Acre, "
18,"RockSprings,WY82901",1344TetonStreet,3,"1,920",2,,"Under 1/2 Acre, "
19,"RockSprings,WY82901",4MinniesLane,3,"1,664",2,,2.02 Acres
20,"RockSprings,WY82901",0Gateway,,,,,
21,"RockSprings,WY82901",1003WinchesterBlvd.,4,,4,,0.21 Acres
22,"RockSprings,WY82901",600Talladega,5,"3,154",3,,
23,"RockSprings,WY82901",3239SpearheadWay,4,"3,076",3,1,"Under 1/2 Acre, "
24,"RockSprings,WY82901",522EmeraldStreet,3,"1,172",3,,"Under 1/2 Acre, "
25,"RockSprings,WY82901",1302Veteran'sDrive,4,"1,932",2,,0.27 Acres
26,"RockSprings,WY82901",1021CypressCir,4,"1,676",3,,"Under 1/2 Acre, "
27,"RockSprings,WY82901",913MadisonDr,3,"1,344",2,,"Under 1/2 Acre, "
28,"RockSprings,WY82901",1344TetonStreet,3,"1,920",2,,"Under 1/2 Acre, "
29,"RockSprings,WY82901",4MinniesLane,3,"1,664",2,,2.02 Acres
